% # columns="iter, evals, sigma, 0, fitness, xbest" seed=447982, Wed May  8 19:21:46 2019, <python>{}</python>
1 10 0.969224140541231 0 353470.32172725484 -0.3255200325036607 -1.9734124057179965 -8.269822303509246 6.598281989645951 -0.8582511492758313 7.740631575239418 2.6185570353436525 1.746632114045131 -5.159847712454396
2 20 0.9831025570751215 0 353470.32172725484 -1.2083413989195986 -1.11998451178804 -9.98401728648643 9.180545279079634 -0.4739774781043862 9.40836853106229 4.431522807129271 1.304376036733323 -3.9362606342294955
3 30 0.9103249156764693 0 353470.32172725484 -1.966732912824517 -0.6494507919080837 -8.371017278005015 8.79408763504118 1.0635861664389268 9.932718326620105 3.692038999886449 1.8270217877632569 -4.937955940831948
4 40 0.814729904023513 0 353470.32172725484 -1.4559730242605609 -0.2851954062976553 -9.48383702420658 8.433605889484243 0.3980234678705076 8.571598729506077 2.533120380810045 3.4384466791954456 -4.706561236669391
5 50 0.7200939375629831 0 353470.32172725484 -3.681297444676824 -0.23696368906712373 -9.394060914536047 7.986199826076467 -0.06971504653315308 8.891501397655162 4.259236166828419 1.8927712549627302 -4.5829306862546275
5 50 0.7200939375629831 0 353470.32172725484 -3.681297444676824 -0.23696368906712373 -9.394060914536047 7.986199826076467 -0.06971504653315308 8.891501397655162 4.259236166828419 1.8927712549627302 -4.5829306862546275
